country_name,province_state,Confirmed,Deaths
Afghanistan,,176918,7651
Albania,,272885,3487
Algeria,,265511,6870
Andorra,,39234,153
Angola,,99003,1900
Antarctica,,11,0
Antigua and Barbuda,,7470,135
Argentina,,8990413,127363
Armenia,,422202,8589
Australia,Australian Capital Territory,64219,38
Australia,New South Wales,1551598,2005
Australia,Northern Territory,45948,31
Australia,Queensland,653383,673
Australia,South Australia,191573,228
Australia,Tasmania,65632,27
Australia,Victoria,1164338,2673
Australia,Western Australia,75641,16
Austria,,3335900,15320
Azerbaijan,,791077,9633
Bahamas,,33206,773
Bahrain,,542305,1464
Bangladesh,,1950357,29112
Barbados,,57451,326
Belarus,,946674,6698
Belgium,Antwerp,570809,0
Belgium,Brussels,419980,0
Belgium,East Flanders,478726,0
Belgium,Flemish Brabant,344971,0
Belgium,Hainaut,423355,0
Belgium,Liege,351403,0
Belgium,Limburg,268313,0
Belgium,Luxembourg,96522,0
Belgium,Namur,164228,0
Belgium,Unknown,54126,30510
Belgium,Walloon Brabant,138073,0
Belgium,West Flanders,385553,0
Belize,,57131,652
Benin,,26952,163
Bhutan,,20722,9
Bolivia,,898941,21477
Bosnia and Herzegovina,,373799,15661
Botswana,,263950,2619
Brazil,Acre,123588,1990
Brazil,Alagoas,295189,6828
Brazil,Amapa,160248,2119
Brazil,Amazonas,579677,14146
Brazil,Bahia,1522095,29549
Brazil,Ceara,1235452,26639
Brazil,Distrito Federal,689463,11542
Brazil,Espirito Santo,1033566,14273
Brazil,Goias,1237668,26067
Brazil,Maranhao,420851,10855
Brazil,Mato Grosso,719566,14829
Brazil,Mato Grosso do Sul,517823,10459
Brazil,Minas Gerais,3281457,60449
Brazil,Para,740222,18006
Brazil,Paraiba,590042,10166
Brazil,Parana,2392386,42763
Brazil,Pernambuco,874704,21253
Brazil,Piaui,366970,7712
Brazil,Rio Grande do Norte,489517,8111
Brazil,Rio Grande do Sul,2230912,38824
Brazil,Rio de Janeiro,2050452,72360
Brazil,Rondonia,385538,7134
Brazil,Roraima,154702,2143
Brazil,Santa Catarina,1656068,21599
Brazil,Sao Paulo,5159850,166446
Brazil,Sergipe,323380,6295
Brazil,Tocantins,301424,4136
Brunei,,120600,177
Bulgaria,,1121194,36248
Burkina Faso,,20806,379
Burma,,607844,19418
Burundi,,38296,38
Cabo Verde,,55917,401
Cambodia,,134624,3049
Cameroon,,119414,1926
Canada,Alberta,533783,4019
Canada,British Columbia,353379,2960
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,133745,1723
Canada,New Brunswick,42320,320
Canada,Newfoundland and Labrador,32113,82
Canada,Northwest Territories,9790,20
Canada,Nova Scotia,48471,218
Canada,Nunavut,3331,5
Canada,Ontario,1145534,12353
Canada,Prince Edward Island,21307,16
Canada,Quebec,939648,14232
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,129301,1148
Canada,Yukon,3616,23
Central African Republic,,14649,113
Chad,,7269,190
Chile,Antofagasta,118529,1439
Chile,Araucania,204031,1862
Chile,Arica y Parinacota,54020,660
Chile,Atacama,62465,443
Chile,Aysen,23386,142
Chile,Biobio,329784,3382
Chile,Coquimbo,117908,1312
Chile,Los Lagos,185319,1829
Chile,Los Rios,101422,920
Chile,Magallanes,49050,587
Chile,Maule,223278,2217
Chile,Metropolitana,1286213,21624
Chile,Nuble,93341,833
Chile,OHiggins,140231,1858
Chile,Tarapaca,78168,956
Chile,Unknown,43,0
Chile,Valparaiso,286071,4182
China,Anhui,1021,6
China,Beijing,1689,9
China,Chongqing,677,6
China,Fujian,1885,1
China,Gansu,594,2
China,Guangdong,6241,8
China,Guangxi,1347,2
China,Guizhou,170,2
China,Hainan,193,6
China,Hebei,1771,7
China,Heilongjiang,2175,13
China,Henan,2714,22
China,Hong Kong,670713,5136
China,Hubei,68388,4512
China,Hunan,1241,4
China,Inner Mongolia,1673,1
China,Jiangsu,1974,0
China,Jiangxi,962,1
China,Jilin,8852,3
China,Liaoning,1233,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,32,0
China,Shaanxi,3158,3
China,Shandong,2340,7
China,Shanghai,4944,7
China,Shanxi,295,0
China,Sichuan,1583,3
China,Tianjin,1546,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,2032,2
China,Zhejiang,2551,1
Colombia,Amazonas,7560,264
Colombia,Antioquia,917367,18217
Colombia,Arauca,16284,528
Colombia,Atlantico,401893,10119
Colombia,Bolivar,196986,3237
Colombia,Boyaca,124887,2776
Colombia,Caldas,116828,2525
Colombia,Capital District,1763515,29266
Colombia,Caqueta,24920,1021
Colombia,Casanare,41594,995
Colombia,Cauca,72158,1786
Colombia,Cesar,106333,2667
Colombia,Choco,18581,426
Colombia,Cordoba,118941,3927
Colombia,Cundinamarca,317681,7267
Colombia,Guainia,2754,37
Colombia,Guaviare,5583,105
Colombia,Huila,100226,3504
Colombia,La Guajira,56236,1522
Colombia,Magdalena,114736,3620
Colombia,Meta,104889,2535
Colombia,Narino,104371,3305
Colombia,Norte de Santander,119524,5074
Colombia,Putumayo,20466,769
Colombia,Quindio,70759,2052
Colombia,Risaralda,106239,2465
Colombia,San Andres y Providencia,10162,154
Colombia,Santander,282773,8146
Colombia,Sucre,65628,1713
Colombia,Tolima,124239,3995
Colombia,Unknown,0,300
Colombia,Valle del Cauca,539837,14989
Colombia,Vaupes,1887,19
Colombia,Vichada,3394,61
Comoros,,8074,160
Congo (Brazzaville),,24049,378
Congo (Kinshasa),,86461,1335
Costa Rica,,828442,8215
Cote d'Ivoire,,81637,796
Croatia,,1079397,15392
Cuba,,1079111,8503
Cyprus,,367743,905
Czechia,,3716181,39271
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11915,20
Denmark,,2986355,5300
Diamond Princess,,712,13
Djibouti,,15572,189
Dominica,,11643,62
Dominican Republic,,577070,4375
Ecuador,,849699,35348
